Date,Close/Last,Volume,Open,High,Low,SYMBOL
06/24/2025,$138.43,78572000,$133.43,$138.79,$132.93,AMD
06/23/2025,$129.58,65152870,$130.47,$133.25,$126.82,AMD
06/20/2025,$128.24,79930980,$129.00,$132.805,$127.55,AMD
06/18/2025,$126.79,49627110,$128.01,$129.21,$125.77,AMD
06/17/2025,$127.10,86623910,$127.93,$130.70,$126.58,AMD
06/16/2025,$126.39,100968500,$118.635,$128.1393,$117.78,AMD
06/13/2025,$116.16,39702740,$116.045,$117.883,$115.06,AMD
06-12-2025,$118.50,44718370,$120.615,$122.25,$118.03,AMD
06-11-2025,$121.14,32261860,$124.44,$124.47,$119.88,AMD
06-10-2025,$123.24,41691910,$121.105,$124.09,$120.80,AMD
06-09-2025,$121.73,55437650,$119.18,$122.3699,$119.04,AMD
06-06-2025,$116.19,27042080,$117.685,$118.38,$115.88,AMD
06-05-2025,$115.69,34182900,$118.95,$119.2448,$114.71,AMD
06-04-2025,$118.58,31024990,$117.41,$119.295,$115.73,AMD
06-03-2025,$117.31,37161480,$114.50,$117.68,$113.28,AMD
06-02-2025,$114.63,34078360,$111.06,$114.86,$111.01,AMD
05/30/2025,$110.73,36088470,$111.584,$112.11,$108.6154,AMD
05/29/2025,$113.03,30572130,$115.485,$115.54,$112.13,AMD
05/28/2025,$112.86,27483740,$114.915,$114.948,$112.66,AMD
05/27/2025,$114.56,37885020,$113.175,$115.395,$112.27,AMD
05/23/2025,$110.31,30867270,$108.085,$111.015,$107.6671,AMD
05/22/2025,$110.71,29251960,$111.90,$112.64,$110.61,AMD
05/21/2025,$112.06,43594610,$113.85,$116.10,$111.09,AMD
05/20/2025,$113.51,29030820,$114.35,$114.51,$112.08,AMD
05/19/2025,$114.74,37737370,$115.015,$115.53,$114.06,AMD
05/16/2025,$117.17,43419700,$118.07,$118.24,$116.01,AMD
05/15/2025,$114.99,43843240,$117.02,$117.50,$114.01,AMD
05/14/2025,$117.72,86743700,$119.83,$122.52,$116.59,AMD
05/13/2025,$112.46,55659510,$109.60,$113.1277,$109.00,AMD
05-12-2025,$108.12,50543400,$110.415,$110.667,$106.98,AMD
05-09-2025,$102.84,31704260,$102.585,$103.54,$101.60,AMD
